fips,age_adjusted
19133,880.1
19135,858.7
19137,848.3
19139,806.9
19141,750
19143,732.3
19145,799.6
19147,777.9
19149,704.7
19151,762.5
19153,765.7
19155,840.8
19157,751.4
19159,794.5
19161,743.1
19163,774.8
19165,685.4
19167,579.3
19169,618.4
19171,765.4
19173,736.4
19175,820.8
19177,824.3
19179,871.1
19181,746.3
19183,717.7
19185,823.2
19187,876.6
19189,716.9
19191,596.7
19193,841.3
19195,749.4
19197,726.7
20001,906.4
20003,786.1
20005,863.2
20007,848.3
20009,797.6
20011,904.4
20013,894.6
20015,839.6
20017,792.6
20019,873.9
20021,1019.7
20023,703.4
20025,791
20027,731.5
20029,847
20031,850.6
20033,958.9
20035,928.7
20037,936.9
20039,769.4
20041,803
20043,782.6
20045,701.5
20047,937.5
20049,893.2
20051,740
20053,802
20055,737.6
20057,804.9
20059,843.1
20061,897
20063,731.4
20065,749.9
20067,811.1
20069,758.4
20071,891.9
20073,926.7
20075,906.5
20077,936.2
20079,755.1
20081,744.9
20083,710.7
20085,807
20087,762.2
20089,710.9
20091,644.2
20093,867.1
20095,959.5
20097,735
20099,943.1
20101,921.2
20103,799.4
20105,767.5
20107,824.7
20109,765.3
20111,786.8
20113,777.5
20115,764.6
20117,749.9
20119,764.7
20121,760.4
20123,783.9
20125,942.1
20127,752.6
20129,853.5
20131,727.1
20133,865.5
20135,783.5
20137,752.1
20139,865.4
20141,803.6
20143,850.8
20145,797.6
20147,813.3
20149,742.4
20151,813.6
20153,745.7
20155,801.3
20157,810.7
20159,882.8
20161,673.5
20163,801.4
20165,842.2
20167,797.4
20169,801.7
20171,769
20173,839
20175,767.7
20177,844.4
20179,716.9
20181,831.6
20183,742.9
20185,846.8
20187,723.2
20189,739
20191,862.4
20193,760.6
20195,805.1
20197,761.2
20199,692
20201,720.3
20203,751.5
20205,924.9
20207,927
20209,967.3
21001,885.4
21003,982
21005,907.5
21007,982.8
21009,919.4
21011,1047.6
21013,1149.4
21015,792.7
21017,888
21019,997.6
21021,884.1
21023,1027.1
21025,1266.7
21027,955.7
21029,791.9
21031,973.6
21033,967.8
21035,866
21037,885.5
21039,952.5
21041,1106.5
21043,1008.8
21045,987.1
21047,975.3
21049,942.4
21051,1169.5
21053,1058.5
21055,1028.3
21057,1076.9
21059,865.8
21061,848.5
21063,898.4
21065,1110.7
21067,799.3
21069,1042.8
21071,1213.8
21073,912.2
21075,1149
21077,1200.8
21079,848.8
21081,1002.9
21083,958.4
21085,1049
21087,913.6
21089,980.8
21091,878.2
21093,865.4
21095,1258.4
21097,975
21099,1017.6
21101,939
21103,985.4
21105,883.6
21107,1029.8
21109,1110.9
21111,899.5
21113,834.5
21115,1120.4
21117,905.4
21119,1076.2
21121,1099.6
21123,914.1
21125,989.8
21127,1141
21129,1221.5
21131,1199.1
21133,1179.7
21135,1056.2
21137,989.5
21139,1004.8
21141,956.3
21143,915.3
21145,908.4
21147,1134.4
21149,987.8
21151,890.4
21153,1127.9
21155,915.6
21157,925.2
21159,1088
21161,1028.3
21163,874.1
21165,999.1
21167,971.4
21169,1070.2
21171,1105.7
21173,943.8
21175,945.3
21177,997.8
21179,888.9
21181,1123.6
21183,954
21185,755.3
21187,916.7
21189,1322.4
21191,981.6
21193,1327.9
21195,1148.6
21197,1267.8
21199,998.1
21201,1022.1
21203,1037.9
21205,962.7
21207,981.6
21209,860.8
21211,806
21213,969.7
21215,863.3
21217,966
21219,993.9
21221,907.4
21223,975.5
21225,1036.7
21227,874.8
21229,883.2
21231,936.6
21233,1007.8
21235,1182
21237,1243.7
21239,833.9
22001,1029.2
22003,890
22005,822.2
22007,856.7
22009,1051.1
22011,992.6
22013,1059.3
22015,854.5
22017,966.8
22019,992.3
22021,1089.6
22023,736
22025,1116.4
22027,922
22029,1043
22031,963.7
22033,902.3
22035,1148.3
22037,1147.8
22039,1086
22041,1068.4
22043,1008.1
22045,989.2
22047,980.5
22049,963
22051,863.1
22053,1041.8
22055,840.7
22057,862.8
22059,1015.1
22061,846
22063,913.4
22065,1202.1
22067,1137.4
22069,959.6
22071,948.1
22073,976.4
22075,888.3
22077,923.3
22079,998.3
22081,1060.7
22083,1029.7
22085,925.7
22087,1060.2
22089,873.9
22091,982
22093,880.2
22095,976.9
22097,1061.6
22099,923.3
22101,995.2
22103,830.3
22105,1029.3
22107,949.8
22109,947.6
22111,969.2
22113,897.4
22115,971.1
22117,1108.9
22119,1031.3
22121,873.2
22123,998.6
22125,804.2
22127,1049.1
23001,839.4
23003,820.5
23005,722.8
23007,784.2
23009,749.4
23011,814.6
23013,738.4
23015,717.4
23017,826.1
23019,836.2
23021,862
23023,732.5
23025,857
23027,780.3
23029,913.3
23031,731.1
24001,894.4
24003,770.7
24005,786.3
24009,765
24011,918.7
24013,787.6
24015,903
24017,793.5
24019,894.8
24021,708.4
24023,798.1
24025,776.2
24027,589.1
24029,793.4
24031,526.9
24033,796.2
24035,731.7
24037,786.5
24039,912.6
24041,685.8
24043,840
24045,887.5
24047,750.3
24510,1133.7
25001,690.6
25003,748.7
25005,775.7
25007,633
25009,714.1
25011,718.7
25013,798.7
25015,700.2
25017,655.5
25019,642.1
25021,665
25023,754.3
25025,736.2
25027,761.6
26001,845.6
26003,767.5
26005,789.1
26007,818.7
26009,711
26011,879.1
26013,869.5
26015,776.6
26017,829.8
26019,735.7
26021,833.1
26023,854.5
26025,908.8
26027,804.9
26029,724.8
26031,770.6
26033,775.1
26035,960.6
26037,684.3
26039,830.6
26041,769
26043,763.8
26045,761.8
26047,724.1
26049,920.3
26051,866.4
26053,796.2
26055,704
26057,853.4
26059,826.4
26061,825.1
26063,831
26065,796
26067,824.1
26069,888.5
26071,815.9
26073,796.7
26075,856
26077,775.7
26079,899.7
26081,737.1
26083,689.1
26085,891
26087,830.5
26089,568.6
26091,819.7
26093,714.1
26095,831.4
26097,797.7
26099,809.2
26101,805.9
26103,793.2
26105,797.3
26107,791
26109,750.2
26111,694.5
26113,806.3
26115,818.6
26117,841.2
26119,900.7
26121,866.2
26123,831.9
26125,722.8
26127,780.3
26129,943.7
26131,862.6
26133,820.3
26135,894.7
26137,790.9
26139,644.8
26141,757
26143,903.8
26145,849.8
26147,858.3
26149,865.4
26151,836.7
26153,827.3
26155,854.8
26157,842.1
26159,858.8
26161,679.7
26163,955.8
26165,837.3
27001,713.6
27003,652.6
27005,786
27007,795.7
27009,794.9
27011,738.4
27013,681.5
27015,669.5
27017,819.8
27019,582.5
27021,773.2
27023,712.4
27025,724.1
27027,700
27029,807.1
27031,597.2
27033,673.2
27035,700.6
27037,624.8
27039,646.7
27041,665.1
27043,718
27045,676.4
27047,703
27049,714.3
27051,715.7
27053,675.7
27055,634.8
27057,660.6
27059,708.8
27061,761
27063,627.6
27065,728.9
27067,651.6
27069,783.3
27071,761.6
27073,651.7
27075,740.5
27077,743.9
27079,671.5
27081,698.9
27083,689.7
27085,664.8
27087,904.7
27089,586.6
27091,664.4
27093,696.8
27095,837.6
27097,710.1
27099,657.1
27101,621.8
27103,621.8
27105,626.8
27107,817.8
27109,593.4
27111,693.2
27113,722.5
27115,736.4
27117,717.4
27119,793.6
27121,688
27123,728
27125,692.6
27127,726.8
27129,762.3
27131,686.8
27133,761.6
27135,714.2
27137,781
27139,632.9
27141,710.8
27143,673.7
27145,607.4
27147,639.6
27149,588.4
27151,687.3
27153,650
27155,708.3
27157,625.2
27159,847.4
27161,668.6
27163,630.4
27165,684.6
27167,810.7
27169,688.4
27171,679
27173,674.4
28001,1037.9
28003,1039.9
28005,879.2
28007,1067.6
28009,990.9
28011,1212.5
28013,970.6
28015,822.3
28017,954.9
28019,869.4
28021,1074.8
28023,1012.2
28025,932.1
28027,1189.4
28029,984.2
28031,1119.3
28033,879.3
28035,1038.6
28037,956.6
28039,1186.6
28041,989.6
28043,1163
28045,886.7
28047,994.5
28049,919.1
28051,1172.5
28053,1135.8
28055,842.1
28057,1033.3
28059,953.7
28061,939.5
28063,1000.8
28065,998.1
28067,987.6
28069,805.8
28071,887.7
28073,788.8
28075,1010.4
28077,1074.7
28079,1024.2
28081,1024.6
28083,1168.1
28085,1051.3
28087,924
28089,1128.7
28091,1113.4
28093,1053.9
28095,948.1
28097,1027.6
28099,1114.9
28101,1002.4
28103,951
28105,825.3
28107,1078.9
28109,1007.6
28111,1026.6
28113,1094.4
28115,863.4
28117,928.6
28119,1189.6
28121,772.7
28123,980.2
28125,1072.7
28127,1006.2
28129,950.6
28131,1082.2
28133,1185.9
28135,1000.4
28137,991.3
28139,1086.6
28141,1109.2
28143,1253.3
28145,913.9
28147,981.9
28149,1030.9
28151,1179.4
28153,963.9
28155,1172
28157,1163.3
28159,964.1
28161,1092.9
28163,1033
29001,842.3
29003,776.4
29005,847.1
29007,891.6
29009,900.8
29011,817
29013,907.5
29015,915.2
29017,898.1
29019,727.5
29021,912.9
29023,1039.9
29025,870.9
29027,839.5
29029,758.2
29031,833.5
29033,884.4
29035,1067.8
29037,799
29039,924.7
29041,784.9
29043,773.5
29045,866.8
29047,770.1
29049,938.8
29051,788.5
29053,828.9
29055,951.8
29057,942.6
29059,893.4
29061,848.5
29063,812.7
29065,916.3
29067,848.9
29069,1156.4
29071,875.5
29073,879.3
29075,838.9
29077,831.5
29079,843.9
29081,828.1
29083,953.6
29085,846.5
29087,754.1
29089,796.7
29091,967.7
29093,1135.4
29095,864.6
29097,932
29099,935.6
29101,841
29103,858.1
29105,949.2
29107,866.7
29109,913
29111,872.5
29113,892.4
29115,911.4
29117,832.9
29119,994.5
29121,870.9
29123,1007.5
29125,864.2
29127,898.3
29129,757.2
29131,895
29133,1075.3
29135,837.3
29137,792.1
29139,928.7
29141,940.5
29143,1072.7
29145,888
29147,740.5
29149,920.6
29151,776.4
29153,907.3
29155,1152.2
29157,793.5
29159,856.9
29161,909.9
29163,885.3
29165,694.5
29167,906
29169,944.4
29171,876.2
29173,751
29175,956.4
29177,922.6
29179,940.6
29181,1042.7
29183,709.4
29185,862.7
29186,793.1
29187,1023.7
29189,778.4
29195,874.1
29197,833.6
29199,848.7
29201,939.8
29203,904.2
29205,858.7
29207,937.8
29209,770.9
29211,894.3
29213,809.8
29215,863.1
29217,918.7
29219,771.2
29221,1062.2
29223,1006.7
29225,854.7
29227,792.4
29229,956.3
29510,1036.8
30001,699.6
30003,1132.5
30005,972.1
30007,746.4
30009,679.8
30011,701.8
30013,809.5
30015,744.8
30017,849.2
30019,675.5
30021,800.4
30023,925.5
30025,796.9
30027,807.7
30029,769.2
30031,626.9
30033,667.7
30035,1076.1
30037,688.9
30039,605
30041,867.8
30043,825.9
30045,596.6
30047,794.1
30049,755.8
30051,525.2
30053,822.1
30055,678
30057,675.9
30059,787
30061,813.5
30063,740.2
30065,884.5
30067,717.3
30069,518.3
30071,803.3
30073,801.4
